message_id,date,sender,text,views,threat_level
msg_-1002214903849_13844,2026-07-11T21:09:00+00:00,5405909794,What?,10,LOW
msg_-1002214903849_13843,2026-07-11T21:08:48+00:00,8861786866,i have fresh good quality of data (paid) if you need dm me,10,LOW
msg_-1002214903849_13842,2026-07-11T21:05:44+00:00,5405909794,I think Instagram,10,LOW
msg_-1002214903849_13840,2026-07-11T20:45:46+00:00,8604130235,Wich one ?,10,LOW
msg_-1002214903849_13839,2026-07-11T20:22:27+00:00,5405909794,I'm looking for leaked databases Can you help me,10,LOW
msg_-1002214903849_13837,2026-07-11T19:25:34+00:00,8861786866,Freah Hotmail data available dm me,10,LOW
msg_-1002214903849_13836,2026-07-11T19:07:34+00:00,6926099549,Work out international ATM all over the world,10,LOW
msg_-1002214903849_13835,2026-07-11T19:05:42+00:00,6926099549,"Looking for VCC, Dumps reliable suppliers from China and Russia.",10,LOW
msg_-1002214903849_13834,2026-07-11T19:04:29+00:00,6926099549,"Hello there,",10,LOW
msg_-1002214903849_13831,2026-07-11T16:08:00+00:00,7430545265,Rez suisse dispo 🇨🇭,10,LOW
msg_-1002214903849_13830,2026-07-11T15:03:21+00:00,8612549255,will you write me in dm?,10,LOW
msg_-1002214903849_13829,2026-07-11T15:00:33+00:00,7169944962,What data?,10,LOW
msg_-1002214903849_13828,2026-07-11T14:57:22+00:00,8612549255,"Guys, I need financial help. Does anyone have any data leaks we can resell? I have something.",10,LOW
msg_-1002214903849_13827,2026-07-11T14:37:21+00:00,6914092567,guys any one free hacking releted channel please ad me,10,LOW
msg_-1002214903849_13826,2026-07-11T14:36:54+00:00,6914092567,not working,10,LOW
msg_-1002214903849_13824,2026-07-11T14:00:42+00:00,6199529843,Anybody 19+ I got 7k for us 50/50,10,LOW
msg_-1002214903849_13820,2026-07-11T09:01:00+00:00,7533918271,i have amazon ledger l3ads(people who bought it from amazon) name+phone+mail+ledger wallet name+shipping addy+order number+order date  i can send l1nes 1by1 for free until u get a live ledger vic so u can prove this da ta is real   2.2$ per 1,10,LOW
msg_-1002214903849_13819,2026-07-11T08:26:00+00:00,6598516153,looking for windows vista or 7 source code,10,LOW
